source,target,edge
,,Guerra
Regiones,,piden
ilegales  Qué,,sigue
EEUU,,anuncia
Ucrania,,pide
líderes,,piden
Papa,,viviendo
Truss,,hablan
Erdogan,,condena
,,Guerra
Bruselas,,propone
Ucrania  Comisión,,Guerra
día  Sudán,,come
Ucrania,,pide
iraníes  fabricados,,usa
líderes,,viajan
Ucrania  PSOE,,pide
Meloni,,pacta
rusa  que,,desmantela
UE,,aprueba
Rusia,,emitirá
España,,condena
España,,da
España,,condena
,,Fedotov
en  Embajada,ciudadanos,hora
inminente  anexión,,supone
soldados,,llegan
Estados,,quedando
Estados,ciudadanos,llama
Hitachi,,traslada
UE,,denuncia
frigoríficos,,baratos
Ucrania,,pide
terribles  que,,informado
Austria,,condena
convencional  Rusia,,dice
,,Apoyo
ONU,,rechaza
exposición,,muestra
no  referéndum,,considera
referéndum,,considera
,,Guerra
ONU,,denuncia
,,hora
Delegación,,contacta
en  Erdogan,,condena
,,Referendos ilegales
,,lobby
,,Reclaman
Meloni,Ucrania,asegura
Giorgia,,ofrece
Meloni,Ucrania,asegura
Uruguay,,niega
resultados,,asegura
Escocia,,0-0
Rusia,,prepara
resultados,,asegura
en  Rusia,,plantea
Real,,donado
denuncia,,dice
Ucrania  Zelenski,,reconocerá
Alemania,,descarta
denuncia,,advierte
antes  fugas,,guerra
Rusia,,dispone
Rusia,,habrá
referéndums,,recuerda
jefe,,muere
Putin,,prevé
referéndum,,Finaliza
Real,,donó
en  fugas,,Guerra
ministro,,inspecciona
,,96%
Tribunal,,ratifica
OTAN,,tilda
sociales  Meta,,Medios sociales
falsos  referendos,,OTAN
Putin,,ultima
,,precio
Así  tren,,trabajó
%,,resultados
más  97%,,afirma
%,,apoya
abrumadora  mayoría,,piden
Nueva,,sanciona
Putin,,prevé
en  Guterres,,dice
Rusia,habitantes,pide
,,Guerra
en  Rusia,,envía
en  Blinken,,llega
ya  que,,prepara
en  inspectores,,emiten
Ucrania  Zelenski,,funciona
en  central,,vuelve
en  inspectores,,llegado
en  Zelenski,,acusa
en  misión,,camino
